id,non-commonsense-statement,sentence1,sentence2,sentence3,label
2287,استخدم قطة لفتح الباب.,القطط رقيق والأبواب ليست,لا تستطيع القطط فتح الأبواب,لا يمكن للباب فتح القطة,1
2288,ركض السمك بعد الكرة الحمراء,لا يمكن تشغيل الأسماك,بينما يمكن للأسماك أن تتنفس الهواء إلا أنها لا تستطيع المشي إلا الركض,لا يمكن للسمكة السباحة إلى الكرة الحمراء,0
2289,أضع الهواء في سيارتي,الغاز هو وقود السيارة لا الهواء,يتم تشغيل السيارات بالغاز وليس الهواء,الهواء لا يملأ خزان الغاز,0
2290,الحيوانات تعيش في ملاجئ المشردين,الحيوانات الأليفة والبشر دائما الذهاب إلى ملاجئ المشردين البقاء على قيد الحياة معا.,إنهم يطعمون الحيوانات ويقدمون لهم المأوى لهم.,"تعيش القطط في ملاجئ الحيوانات ، وليست ملاجئ للمشردين.",2
2291,قامت بتنظيف أسنانها بالملعقة,ملعقة رمادية في الغالب في حين أن الأسنان بيضاء,"بشكل عام ، هناك 32 سنًا في الشخص بينما هناك عدد قليل جدًا من الملاعق في المنزل",الملعقة هي أواني المطبخ التي تستخدم لتناول الطعام,2
2292,قفز من الطائرة إلى الأرض,المظلية على الأرض لا تسقط على الأرض,لا يمكن للمرء أن المظلة إلى الفضاء,لا يستطيع المرء القفز من الطائرة والهبوط بأمان على الأرض دون مظلة,2
2293,ذهبت إلى طبيب أسنان لفحص عينيها,طبيب الأسنان هو الشخص الذي يفحص الأسنان,يرتدي طبيب الأسنان معطفًا أبيض بينما تكون العين بالأبيض والأسود,يوجد عدد قليل جدًا من أطباء الأسنان في المدينة بينما لكل شخص عينان,0
2294,وضعت قفازات على قدميها,القفازات لا تناسب القدمين,القفازات هي الملابس والقدمين هي أجزاء من الجسم,قفازات جيدة للطقس البارد,0
2295,أعطني المزيد من البشر,إعطاء الأغنام أكثر,البشر هم إنسان. لا يمكن إعطائها لشخص آخر,الأغنام تعطي للإنسان,1
2296,أحضرت قطة جديدة لصيد السمك لها,القطط هي فروي والأسماك لديها جداول,القطة لا تستطيع التنفس في الماء,القطط تأكل السمك ولا تحب العيش في الماء,2
2297,تم إرساله إلى الملعب لتلقي العلاج بعد حادث سيارة,الملعب عادة ما يكون هادئا جدا بالنسبة للمريض,هناك استاد مختلف والعديد من المرضى في المدينة,الملعب يعني الأنشطة الترفيهية,2
2298,طهي الشيف الكمبيوتر,يمكنك البحث عن وصفات لطهي الطعام في جهاز كمبيوتر,يمكن القيام بالطهي بجانب الكمبيوتر,ليس من المفترض أن يتم طهي أجهزة الكمبيوتر,2
2299,وضعت هاتفها على السحابة.,الغيوم لا تستطيع حمل الهواتف,عادة ما تكون الهواتف سوداء والغيوم عادة ما تكون بيضاء.,لا يمكن للهاتف إجراء مكالمات في سحابة.,0
2300,من المحتمل أن تجد ديناصورًا في المحكمة,ديناصور كامل ميت منذ سنوات,أولئك الذين يرتكبون الجرائم سيقدمون إلى المحكمة لمحاكمتهم,يعاقب المجرمون في المحكمة,0
2301,ذهب الأمريكي إلى أوروبا بالقطار.,كان القطار خارج الخدمة بسبب مسار البناء.,لا توجد خطوط سكك حديدية عبر المحيط إلى أوروبا.,كانت تكلفة تذكرة القطار مرتفعة للغاية.,1
2302,الإعصار عبارة عن كتلة دوامية من الرمال والدخان.,الأعاصير هي أكثر برودة بكثير من السخونة.,الأعاصير أغمق من الصحراء.,"الأعاصير هي كتل دوامية من الهواء والماء ، وليست رملًا ودخانًا ولا يمكن أن تبدأ على اليابسة.",2
2303,وضع ثلاجة في الدجاج.,الدجاج يمكن أن تكون ألوان كثيرة في حين أن الثلاجات عادة ما تكون بيضاء أو الفولاذ المقاوم للصدأ.,"لا يمكن وضع الثلاجة داخل الدجاج ، ولن يحاول أي شخص أن يحدث مثل هذا الشيء.",الثلاجة لا يمكنها أكل الدجاج.,1
2304,يمكن للكتب قراءة الناس.,الكتاب لا يزن أكثر من شخص,الكتاب عبارة عن كائن جامد ولا يمكنه قراءة أي شيء.,الكتاب يحتوي على صفحات بينما الشخص ليس لديه.,1
2305,يأكل محمصة لتناول العشاء.,المحمصة كانت مصنوعة من المعدن,لا يمكن للشخص أن يأكل محمصة.,رائحة محمصة مثل الخبز المحروق.,1
2306,الماء مغبر,الماء أحمر لذا قد يكون جافًا,الماء في الليل ليس رطبًا دائمًا,تنتقل المياه إلى الطريق الأقل مقاومة وتتدفق بحرية,2
2307,يأكل قلما كل يوم,يمكن للمرء استخدام قلم رصاص لرسم,لا أحد يأكل قلم رصاص كطعام,قلم رصاص كبير جدًا للفم,1
2308,دهس حيوان منقرض,الحيوانات المنقرضة لم تعد على هذا الكوكب,لا يمكنك دهس شيء لا وجود له,حيوان منقرض ليس على قيد الحياة,1
2309,أكل كيس من المطاط على الغداء.,يمكن استخدام الأربطة المطاطية لإغلاق كيس من الرقائق.,لا يمكنك أكل الأربطة المطاطية.,يمكنك إطلاق النار على أصدقائك أثناء تناول الرقائق.,1
2310,وضع خنزير البندقية في الثلاجة.,الخنازير غير قادره على البقاء على قيد الحياة في الثلاجة.,يذهب خنزير الطعام في الثلاجة.,الخنازير تذهب في الثلاجة لتبرد.,0
2311,تم قبوله في إحدى الجامعات بعد إصابته بأزمة قلبية,الجامعة ليس لديها أطباء وممرضات,يتم تشغيل الجامعة من قبل المعلمين وليس الأطباء,هناك العديد من الجامعات والمستشفيات في المدينة.,0
2312,الكلاب تحب مطاردة أفراس النهر,الكلاب هي عموما صغيرة في حين أفراس النهر ضخمة,لن يأكل الكلب فرس النهر,لا تشارك الكلاب وأفراس النهر الموائل,2
2313,رميت شطيرة إلى الماسك.,البيسبول مستديرة بينما الماسك هو الإنسان.,الساندويتش ليس معدات يتم طرحها على الماسك.,شطيرة مصنوعة من الخبز وصيد الماسك من الجلد.,1
2314,لعبت الفتاة على القط في الحديقة.,القط لا يتكلم ولكن يمكن للفتاة أن تتحدث.,القطة صغيرة جدًا ولا يمكن اللعب عليها.,لا تستطيع الفتاة أكل قطة.,1
2315,الكمبيوتر المحمول عبارة عن مطبوعة مطبوعة تتكون من أوراق مطوية وتحتوي على أخبار,الكمبيوتر المحمول هو جهاز كمبيوتر محمول يستخدمه الناس للقيام بالعمل,يمكن للناس قراءة الأخبار ومشاهدة الفيديو من جهاز كمبيوتر محمول,معظم المهنيين يحملون جهاز كمبيوتر محمول معهم,0
2316,طهي الموقد,موقد يستخدم لطهي البطاطا ولكن لا يمكن طهيها,المواقد كبيرة بينما البطاطس صغيرة,لا تستطيع البطاطا طهي موقد,0
